feature_set,feature_count,model,selection_objective,return_weight,sharpe_weight,valid_selection_score,valid_return_score,valid_sharpe_score,mapping_type,center_prob,sharpness,min_position,max_position,smoothing_window,valid_accuracy,test_accuracy,valid_auc,test_auc,valid_cumulative_return,valid_max_drawdown,valid_sharpe,cumulative_return,annualized_return,max_drawdown,sharpe,excess_return_vs_buy_hold,lower_prob,upper_prob,lower_rank,upper_rank
market,12,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,0.9820005356118853,0.9808585882272443,0.9831424829965263,sigmoid,0.55,8.0,0.5,1.0,5,0.48760330578512395,0.6234177215189873,0.5736434108527132,0.6182065217391304,0.09148187491565607,-0.438264172917037,0.42943833487777355,0.8469313545745363,0.6311204943427233,-0.1303475223914058,2.2891055183692046,-0.1458387115219908,,,,
market,12,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.203165523896078,1.2877710853325988,1.118559962459557,linear_clipped,,,0.0,1.0,1,0.5247933884297521,0.6518987341772152,0.5761130548123757,0.5672554347826086,0.1201067256405588,-0.4577482649016674,0.4885889238307631,0.856214770846687,0.6376553485722596,-0.17260282015581208,2.001466500598639,-0.13655529524984011,0.45,0.5,,
market,12,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.252430126242888,1.3551725771114922,1.1496876753742842,linear_clipped,,,0.0,1.0,5,0.5206611570247934,0.43037974683544306,0.48315840021952394,0.5381162655279503,0.12639306998627076,-0.4426192568143863,0.502185562602705,0.40593043989634015,0.31218924902761946,-0.11655788789492305,1.512551319807241,-0.5868396262001869,0.35,0.5,,
market,12,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.0252560667701616,1.0358521098104483,1.0146600237298748,linear_clipped,,,0.0,1.0,1,0.5247933884297521,0.6677215189873418,0.5716539754407629,0.5456618788819876,0.09661096337247299,-0.4577482649016674,0.4432052511142876,0.8770918039836557,0.6523271628538987,-0.1760364026247887,2.021846258789428,-0.11567826211287136,0.5,0.5,,
market,12,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.0188136486270112,1.0268501268246495,1.0107771704293729,linear_clipped,,,0.0,1.0,1,0.5371900826446281,0.6772151898734177,0.5446936955477808,0.5562888198757765,0.09577137416829618,-0.45087224789923375,0.44150921408529054,0.743820039073666,0.5580806520504187,-0.1760364026247888,1.8195393434923819,-0.24895002702286106,0.5,0.55,,
composite,28,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,4.239949836670684,5.6343331041511995,2.8455665691901695,linear_clipped,,,0.0,1.0,3,0.5661157024793388,0.6867088607594937,0.5973794333539137,0.633685947204969,0.5254981324052839,-0.41488913361921986,1.2429483929250598,1.0734542302914836,0.7887671243070271,-0.14618825927768064,2.688602916834085,0.0806841641949565,0.5,0.5,,
composite,28,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.9314112046292553,2.3207449902006894,1.5420774190578213,linear_clipped,,,0.0,1.0,5,0.5413223140495868,0.6392405063291139,0.5818755573849214,0.6458656832298136,0.2164492470707593,-0.4111561824129981,0.6735820804675219,0.9020883165155773,0.6698506472574943,-0.10764936703034711,2.6840113378892125,-0.09068174958094977,0.5,0.6,,
composite,28,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8188624418961612,2.1604101835613823,1.47731470023094,linear_clipped,,,0.0,1.0,5,0.5413223140495868,0.6360759493670886,0.5353639294779446,0.5997670807453415,0.20149527827071778,-0.4249561112255924,0.6452936130112014,0.8754688544376739,0.6511877869195555,-0.13475047976254018,2.5103321781655175,-0.11730121165885321,0.5,0.55,,
composite,28,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8364446718824448,2.0861888893182985,1.586700454446591,rank_linear,,,0.0,1.0,3,0.5371900826446281,0.6677215189873418,0.6028675310420526,0.6422263198757764,0.19457287045625837,-0.40840792215679833,0.6930734994082828,0.6818713360424886,0.5137793895907541,-0.03218332417731118,3.5706009653832105,-0.31089873005403845,,,0.4,0.8
composite,28,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.3322162660489034,1.467050752215726,1.197381779882081,linear_clipped,,,0.0,1.0,5,0.5371900826446281,0.6518987341772152,0.5647252521094874,0.6499417701863354,0.13682762736642817,-0.41138206817560785,0.5230184298396985,0.8599531960298739,0.6402850589699656,-0.12799888591944286,2.453287652706081,-0.13281687006665321,0.5,0.65,,
