feature_group,feature_count,model,selection_objective,return_weight,sharpe_weight,valid_selection_score,valid_return_score,valid_sharpe_score,mapping_type,center_prob,sharpness,min_position,max_position,smoothing_window,smoothing_method,valid_accuracy,test_accuracy,valid_auc,test_auc,valid_cumulative_return,valid_max_drawdown,valid_sharpe,cumulative_return,annualized_return,max_drawdown,sharpe,excess_return_vs_buy_hold,lower_prob,upper_prob,power,lower_rank,upper_rank
market,12,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,1.2356037227912986,1.265179543117749,1.2060279024648481,sigmoid,0.6,4.0,0.0,1.0,10,sma,0.48760330578512395,0.6234177215189873,0.5736434108527132,0.6182065217391304,0.11799967711811488,-0.34120831886086533,0.5267950711193794,0.5416461083818103,0.4122508413954895,-0.0867042279184943,2.377269354223586,-0.4511239577147168,,,,,
market,12,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.2470138126345074,1.3494972306455426,1.1445303946234722,power,,,0.0,1.0,3,sma,0.5247933884297521,0.6518987341772152,0.5761130548123757,0.5672554347826086,0.1258637466549235,-0.44392172215650205,0.4999328534619346,0.6589254511281293,0.4972867189308756,-0.13557901263110417,1.960630281041898,-0.3338446149683978,0.5,0.6,3.0,,
market,12,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.4551685691880345,1.6420326689933409,1.268304469382728,power,,,0.0,1.0,1,sma,0.5206611570247934,0.43037974683544306,0.48315840021952394,0.5381162655279503,0.1531476902330673,-0.45236720764915417,0.553997583127207,0.4672261317340052,0.357613447479719,-0.15158700226230326,1.4184075725656706,-0.5255439343625219,0.3,0.5,0.5,,
market,12,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.0327435293520928,1.050827034974311,1.0146600237298744,linear_clipped,,,0.0,0.9,1,sma,0.5247933884297521,0.6677215189873418,0.5716539754407629,0.5456618788819876,0.0980076318088352,-0.4220677851898551,0.44320525111428744,0.7699639510711975,0.5766807994779768,-0.15901961576112777,2.0218462587894286,-0.22280611502532954,0.5,0.5,,,
market,12,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.046982500619682,1.0702999983401023,1.023665002899262,linear_clipped,,,0.0,0.9,2,sma,0.5371900826446281,0.6772151898734177,0.5446936955477808,0.5562888198757765,0.09982381940228446,-0.41169532746186055,0.44713864157090194,0.7212686899294227,0.5419910391089897,-0.15777698379751637,1.9487104333277916,-0.27150137616710435,0.5,0.5,,,
regime,20,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,1.691080672990132,1.9500633665938285,1.4320979793864357,power,,,0.0,1.0,3,sma,0.49586776859504134,0.7120253164556962,0.5816011525005145,0.6101513975155279,0.18187683231969554,-0.40840792215679844,0.6255428712378285,0.8740070912638476,0.6501613993745419,-0.14326618438835048,2.627204316721285,-0.1187629748326795,0.5,0.7,3.0,,
regime,20,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.6669490417641784,1.9494580811118734,1.3844400024164834,power,,,0.0,1.0,1,sma,0.5371900826446281,0.6740506329113924,0.5911367222336558,0.6456230590062111,0.18182037907412774,-0.45087224789923375,0.6047257845717731,0.9865424134465668,0.7287157762984673,-0.12688522404483382,2.4342836068132625,-0.00622765264996028,0.5,0.55,0.5,,
regime,20,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.244636667436784,1.340260949154028,1.1490123857195396,power,,,0.0,1.0,3,sma,0.5041322314049587,0.4525316455696203,0.5396858064073541,0.5796292701863355,0.12500230509929655,-0.40840792215679844,0.5018905949150003,0.4931003589818943,0.37667196458705154,-0.060750978673375644,2.376136512065424,-0.49966970711463277,0.5,0.65,3.0,,
regime,20,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.2242528008463254,1.317246316013311,1.1312592856793398,power,,,0.0,1.0,5,sma,0.5454545454545454,0.6518987341772152,0.5665088838581327,0.5915178571428571,0.12285579609638919,-0.45981933024531363,0.49413601015029246,0.8752341163432842,0.6510229747983536,-0.16881013929718658,2.1458100752386904,-0.11753594975324289,0.4,0.5,0.5,,
regime,20,lightgbm,weighted_valid_return_sharpe,0.5,0.5,2.0592036370684346,2.5145374441689046,1.6038698299679648,linear_clipped,,,0.0,1.0,1,sma,0.5413223140495868,0.6677215189873418,0.5837277903546684,0.6348990683229814,0.23452371493626467,-0.44621088673421194,0.7005731122948271,1.0206619430703543,0.7523527239169472,-0.1570008315267446,2.3632789684040945,0.027891876973827223,0.5,0.5,,,
momentum,20,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,3.6608846297316875,4.782418186428369,2.5393510730350064,power,,,0.0,1.0,3,sma,0.5661157024793388,0.6867088607594937,0.6001920834190848,0.6195652173913044,0.446042464812306,-0.4526311102260284,1.109192935240185,0.8825440285722992,0.6561533843859393,-0.14837909112634307,2.1043064247927425,-0.11022603752422788,0.45,0.5,0.5,,
momentum,20,random_forest,weighted_valid_return_sharpe,0.5,0.5,2.451818804704725,3.0258304334523003,1.8778071759571495,power,,,0.0,1.0,5,sma,0.5619834710743802,0.6740506329113924,0.5838649927968718,0.63868400621118,0.2822105495649063,-0.40840792215679833,0.8202294182291193,0.8580592492093768,0.6389529389634807,-0.060503304521451584,3.3724627416167654,-0.13471081688715025,0.5,0.65,3.0,,
momentum,20,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,2.177225730421511,2.644864950314803,1.709586510528219,power,,,0.0,1.0,10,ewma,0.5289256198347108,0.6550632911392406,0.5561500994717706,0.5980687111801242,0.2466789886509566,-0.40045813985009826,0.7467503409811818,0.6347307769000863,0.47984633435850066,-0.11927513938146361,2.1481082999803838,-0.3580392891964408,0.5,0.6,3.0,,
momentum,20,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.9334940884168943,2.242938926511326,1.6240492503224624,rank_linear,,,0.0,1.0,5,sma,0.5578512396694215,0.6645569620253164,0.5928517527611992,0.6114130434782609,0.20919249806377516,-0.4047993143729436,0.7093875179641066,0.6912341147856438,0.5204958999132561,-0.06371833532174564,2.6574010117172087,-0.3015359513108833,,,,0.4,0.75
momentum,20,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.692264499621871,1.9685276027621037,1.4160013964816383,power,,,0.0,1.0,10,ewma,0.5495867768595041,0.6582278481012658,0.5713109693352543,0.6122864906832297,0.18359893881275502,-0.4099152531935769,0.6185118560193734,0.7870574550691298,0.5888119114723831,-0.10197173137293969,2.5036203790474523,-0.20571261102739724,0.5,0.65,3.0,,
composite,28,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,4.239949836670684,5.6343331041511995,2.8455665691901695,linear_clipped,,,0.0,1.0,3,sma,0.5661157024793388,0.6867088607594937,0.5973794333539137,0.633685947204969,0.5254981324052839,-0.41488913361921986,1.2429483929250598,1.0734542302914836,0.7887671243070271,-0.14618825927768064,2.688602916834085,0.0806841641949565,0.5,0.5,,,
composite,28,random_forest,weighted_valid_return_sharpe,0.5,0.5,2.3029466986168448,2.8458057338599314,1.7600876633737583,power,,,0.0,1.0,10,ewma,0.5413223140495868,0.6392405063291139,0.5818755573849214,0.6458656832298136,0.2654201607693074,-0.39113710767066334,0.7688093317810666,0.7764023469910597,0.5812528468410851,-0.13031825605300595,2.328564670511281,-0.21636771910546737,0.5,0.55,3.0,,
composite,28,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.9458863887012987,2.331771930711724,1.5600008466908735,power,,,0.0,1.0,10,ewma,0.5413223140495868,0.6360759493670886,0.5353639294779446,0.5997670807453415,0.2174776982712081,-0.41582851063227977,0.6814110646190158,0.7042366442824279,0.5298109590239461,-0.13155004209679932,2.2698117582263975,-0.28853342181409913,0.5,0.55,3.0,,
composite,28,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8793953672280121,2.2306368300293737,1.5281539044266503,power,,,0.0,1.0,5,sma,0.5371900826446281,0.6677215189873418,0.6028675310420526,0.6422263198757764,0.20804511671332349,-0.40840792215679844,0.6675002652247993,0.8530835551275504,0.6354519403689887,-0.11778311294102428,2.793369314920686,-0.13968651096897666,0.5,0.65,3.0,,
composite,28,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.5461976562006745,1.7572820980166943,1.3351132143846545,power,,,0.0,1.0,10,ewma,0.5371900826446281,0.6518987341772152,0.5647252521094874,0.6499417701863354,0.16389667482326242,-0.38710001018556395,0.583179758351144,0.7273761361515363,0.546352685327963,-0.12095587494897919,2.3308570713251853,-0.2653939299449908,0.5,0.65,3.0,,
